img	modality	set	source	img_path	higher_modality	labeled
11373_2007_9226_Fig1_HTML-10.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-10.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-11.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-11.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-12.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-12.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-13.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-13.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-14.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-14.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-15.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-15.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-16.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-16.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-17.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-17.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-18.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-18.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-20.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-20.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-2.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-2.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-3.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-3.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-4.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-4.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-5.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-5.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-6.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-6.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-7.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-7.jpg	MICROSCOPY	UNLABELED
11373_2007_9226_Fig1_HTML-9.jpg	DMFL	TRAIN	clef16	2016/train/DMFL/11373_2007_9226_Fig1_HTML-9.jpg	MICROSCOPY	UNLABELED
12178_2007_9007_Fig1_HTML-2.jpg	DMTR	TRAIN	clef16	2016/train/DMTR/12178_2007_9007_Fig1_HTML-2.jpg	MICROSCOPY	UNLABELED
12178_2008_9027_Fig4_HTML-1.jpg	DRXR	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-1.jpg	ORGANISMS	UNLABELED
12178_2008_9027_Fig4_HTML-3.jpg	DRXR	TRAIN	clef16	2016/train/DRXR/12178_2008_9027_Fig4_HTML-3.jpg	ORGANISMS	UNLABELED
12178_2009_9056_Fig9_HTML-1.jpg	DRUS	TRAIN	clef16	2016/train/DRUS/12178_2009_9056_Fig9_HTML-1.jpg	ORGANISMS	UNLABELED
12178_2009_9056_Fig9_HTML-2.jpg	DRUS	TRAIN	clef16	2016/train/DRUS/12178_2009_9056_Fig9_HTML-2.jpg	ORGANISMS	UNLABELED
1297-9686-42-10-3-1.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-1.jpg	GRAPHICS	UNLABELED
1297-9686-42-10-3-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-2.jpg	GRAPHICS	UNLABELED
1297-9686-42-10-3-3.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-3.jpg	GRAPHICS	UNLABELED
1297-9686-42-10-3-4.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1297-9686-42-10-3-4.jpg	GRAPHICS	UNLABELED
1423-0127-16-109-3-1.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1423-0127-16-109-3-1.jpg	MOLECULAR	UNLABELED
1423-0127-16-109-3-2.jpg	D3DR	TRAIN	clef16	2016/train/D3DR/1423-0127-16-109-3-2.jpg	MOLECULAR	UNLABELED
1423-0127-16-6-3-1.jpg	GGEL	TRAIN	clef16	2016/train/GGEL/1423-0127-16-6-3-1.jpg	EXPERIMENTAL	UNLABELED
1423-0127-16-6-3-2.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1423-0127-16-6-3-2.jpg	GRAPHICS	UNLABELED
1423-0127-16-6-5-1.jpg	GFIG	TRAIN	clef16	2016/train/GFIG/1423-0127-16-6-5-1.jpg	GRAPHICS	UNLABELED
1423-0127-16-6-5-2.jpg	GGEL	TRAIN	clef16	2016/train/GGEL/1423-0127-16-6-5-2.jpg	EXPERIMENTAL	UNLABELED
