11373_2007_9226_Fig1_HTML-10,DMFL
11373_2007_9226_Fig1_HTML-11,DMFL
11373_2007_9226_Fig1_HTML-12,DMFL
11373_2007_9226_Fig1_HTML-13,DMFL
11373_2007_9226_Fig1_HTML-14,DMFL
11373_2007_9226_Fig1_HTML-15,DMFL
11373_2007_9226_Fig1_HTML-16,DMFL
11373_2007_9226_Fig1_HTML-17,DMFL
11373_2007_9226_Fig1_HTML-18,DMFL
11373_2007_9226_Fig1_HTML-19,DMFL
11373_2007_9226_Fig1_HTML-20,DMFL
11373_2007_9226_Fig1_HTML-2,DMFL
11373_2007_9226_Fig1_HTML-3,DMFL
11373_2007_9226_Fig1_HTML-4,DMFL
11373_2007_9226_Fig1_HTML-5,DMFL
11373_2007_9226_Fig1_HTML-6,DMFL
11373_2007_9226_Fig1_HTML-7,DMFL
11373_2007_9226_Fig1_HTML-8,DMFL
11373_2007_9226_Fig1_HTML-9,DMFL
12178_2007_9007_Fig1_HTML-1,GHDR
12178_2007_9007_Fig1_HTML-2,DMTR
12178_2007_9007_Fig1_HTML-3,GHDR
12178_2007_9007_Fig1_HTML-4,GHDR
12178_2008_9027_Fig4_HTML-1,DRXR
12178_2008_9027_Fig4_HTML-2,DRXR
12178_2008_9027_Fig4_HTML-3,DRXR
12178_2009_9056_Fig9_HTML-1,DRUS
12178_2009_9056_Fig9_HTML-2,DRUS
1297-9686-42-10-3-1,GFIG
1297-9686-42-10-3-2,GFIG
1297-9686-42-10-3-3,GFIG
1297-9686-42-10-3-4,GFIG
1423-0127-16-109-3-1,D3DR
1423-0127-16-109-3-2,D3DR
1423-0127-16-6-3-1,GGEL
1423-0127-16-6-3-2,GFIG
1423-0127-16-6-5-1,GFIG
1423-0127-16-6-5-2,GGEL
1423-0127-16-6-5-3,GGEL
1423-0127-16-7-1-1,DMEL
1423-0127-16-7-1-2,DMEL
1423-0127-16-7-1-3,GFIG
1423-0127-16-7-1-4,DMEL
1423-0127-16-7-1-5,DMEL
1423-0127-16-7-1-6,DMEL
1423-0127-16-88-1-1,DMEL
1423-0127-16-88-1-2,DRMR
1423-0127-16-88-1-3,DMLI
1423-0127-16-88-1-4,DMFL
1423-0127-16-88-1-5,DMFL
1423-0127-17-22-2-1,GGEL
1423-0127-17-22-2-2,GGEL
1423-0127-17-22-2-3,GFIG
1423-0127-17-22-2-4,GTAB
1423-0127-17-34-3-1,D3DR
1423-0127-17-34-3-2,D3DR
1423-0127-17-34-3-3,D3DR
1423-0127-17-34-5-1,D3DR
1423-0127-17-34-5-2,D3DR
1423-0127-17-34-6-1,GHDR
1423-0127-17-34-6-2,GHDR
1423-0127-17-77-3-1,DMEL
1423-0127-17-77-3-2,DMLI
1423-0127-17-77-3-3,DMFL
1423-0127-17-77-3-4,DMFL
1423-0127-17-80-4-1,GFIG
1423-0127-17-80-4-2,GFIG
1423-0127-17-80-4-3,GFIG
1423-0127-17-80-4-4,GFIG
1423-0127-18-32-6-1,DMFL
1423-0127-18-32-6-2,DMFL
1423-0127-18-32-6-3,DMFL
1423-0127-18-32-6-4,DMFL
1465-9921-10-20-1-1,GFIG
1465-9921-10-20-1-2,GFIG
1465-9921-10-20-1-3,GFIG
1465-9921-10-22-7-1,GFIG
1465-9921-10-22-7-2,GFIG
1465-9921-10-22-8-1,GFIG
1465-9921-10-22-8-2,GFIG
1465-9921-10-26-1-1,GFIG
1465-9921-10-26-1-2,GGEL
1465-9921-10-26-1-3,GGEL
1465-9921-10-26-1-4,GFIG
1465-9921-10-26-2-1,GFIG
1465-9921-10-26-2-2,GGEL
1465-9921-10-26-2-3,GGEL
1465-9921-11-121-1-1,GFIG
1465-9921-11-121-1-2,GFIG
1465-9921-11-121-1-3,GFIG
1465-9921-11-121-1-4,GFIG
1465-9921-11-121-1-5,GFIG
1465-9921-11-121-2-1,GFIG
1465-9921-11-121-2-2,GFIG
1465-9921-11-121-2-3,GFIG
1465-9921-11-121-2-4,GFIG
1465-9921-11-121-2-5,GFIG
1465-9921-11-121-2-6,GFIG
1465-9921-11-121-3-1,GFIG
1465-9921-11-121-3-2,GFIG
1465-9921-11-121-3-3,GFIG
1465-9921-11-121-3-4,GFIG
1465-9921-11-122-3-1,GFIG
1465-9921-11-122-3-2,GFIG
1465-9921-11-124-1-1,DMLI
1465-9921-11-124-1-2,DMLI
1465-9921-11-124-1-3,DMEL
1465-9921-11-124-1-4,DMEL
1465-9921-11-124-1-5,GFIG
1465-9921-11-124-1-6,GFIG
1465-9921-11-124-1-7,GFIG
1465-9921-11-139-3-1,GFIG
1465-9921-11-139-3-2,GFIG
1465-9921-11-139-3-3,GFIG
1465-9921-11-139-3-4,GFIG
1465-9921-11-139-6-1,GFIG
1465-9921-11-139-6-2,GFIG
1465-9921-11-139-7-1,GFIG
1465-9921-11-139-7-2,GFIG
1465-9921-11-139-7-3,GFIG
1465-9921-11-154-2-1,GFIG
1465-9921-11-154-2-2,DMLI
1465-9921-11-154-2-3,DMLI
1465-9921-11-154-2-4,DMLI
1465-9921-11-154-2-5,DMLI
1465-9921-11-154-7-1,DMLI
1465-9921-11-154-7-2,DMLI
1465-9921-11-154-7-3,DMLI
1465-9921-11-154-7-4,DMLI
1465-9921-11-154-7-5,GFIG
1465-9921-11-154-7-6,GFIG
1465-9921-11-154-7-7,GFIG
1465-9921-11-154-7-8,GFIG
1465-9921-11-154-7-9,GFIG
1465-9921-11-21-6-1,DMEL
1465-9921-11-21-6-2,DMEL
1465-9921-11-21-6-3,DMEL
1465-9921-11-21-6-4,DMEL
1465-9921-11-99-5-1,DMLI
1465-9921-11-99-5-2,DMLI
1465-9921-11-99-5-3,DMLI
1465-9921-12-111-1-1,DRCT
1465-9921-12-111-1-2,DRCT
1465-9921-12-111-1-3,DRCT
1465-9921-12-111-1-4,DRCT
1465-9921-12-111-2-1,DMTR
