img	modality	source	img_path	higher_modality	split_set	target
1423-0127-16-6-3-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1423-0127-16-6-3-1.jpg	EXPERIMENTAL	VAL	GEL
1423-0127-16-6-5-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1423-0127-16-6-5-2.jpg	EXPERIMENTAL	TRAIN	GEL
1423-0127-16-6-5-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1423-0127-16-6-5-3.jpg	EXPERIMENTAL	TRAIN	GEL
1423-0127-17-22-2-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1423-0127-17-22-2-1.jpg	EXPERIMENTAL	VAL	GEL
1423-0127-17-22-2-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1423-0127-17-22-2-2.jpg	EXPERIMENTAL	TRAIN	GEL
1465-9921-10-26-1-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-10-26-1-2.jpg	EXPERIMENTAL	VAL	GEL
1465-9921-10-26-1-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-10-26-1-3.jpg	EXPERIMENTAL	TRAIN	GEL
1465-9921-10-26-2-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-10-26-2-2.jpg	EXPERIMENTAL	TRAIN	GEL
1465-9921-10-26-2-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-10-26-2-3.jpg	EXPERIMENTAL	VAL	GEL
1465-9921-7-68-1-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-7-68-1-2.jpg	EXPERIMENTAL	TRAIN	GEL
1465-9921-7-68-1-4.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-7-68-1-4.jpg	EXPERIMENTAL	TRAIN	GEL
1465-9921-7-68-1-6.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1465-9921-7-68-1-6.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-12-1-3-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-12-1-3-2.jpg	EXPERIMENTAL	VAL	GEL
1471-2091-4-6-1-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-4-6-1-3.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-4-6-1-4.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-4-6-1-4.jpg	EXPERIMENTAL	VAL	GEL
1471-2091-4-6-5-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-4-6-5-1.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-4-6-5-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-4-6-5-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-5-12-1-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-5-12-1-1.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-5-12-1-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-5-12-1-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-5-12-1-4.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-5-12-1-4.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-5-12-1-5.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-5-12-1-5.jpg	EXPERIMENTAL	VAL	GEL
1471-2091-7-13-5-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-7-13-5-1.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-7-13-5-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-7-13-5-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-7-24-1-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-7-24-1-1.jpg	EXPERIMENTAL	VAL	GEL
1471-2091-7-24-1-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-7-24-1-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-8-16-4-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-8-16-4-1.jpg	EXPERIMENTAL	VAL	GEL
1471-2091-8-16-4-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-8-16-4-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-8-16-4-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-8-16-4-3.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-9-4-3-10.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-9-4-3-10.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2091-9-4-3-5.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2091-9-4-3-5.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-10-3-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-10-3-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-10-3-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-10-3-3.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-27-2-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-27-2-1.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-27-2-2.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-27-2-2.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-27-2-3.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-27-2-3.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-10-27-2-4.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-10-27-2-4.jpg	EXPERIMENTAL	TRAIN	GEL
1471-2121-2-16-8-1.jpg	GEL	clef16	subfigure-classification/2016/train/GGEL/1471-2121-2-16-8-1.jpg	EXPERIMENTAL	TRAIN	GEL
