ID,NAME,MODALITY,SET,PATH
1,1423-0127-16-7-1-2.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-16-7-1-2.jpg
2,1423-0127-16-7-1-4.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-16-7-1-4.jpg
3,1423-0127-16-7-1-5.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-16-7-1-5.jpg
4,1423-0127-16-7-1-6.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-16-7-1-6.jpg
5,1423-0127-16-88-1-1.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-16-88-1-1.jpg
6,1423-0127-17-77-3-1.jpg,DMEL,train,/mnt/train/DMEL/1423-0127-17-77-3-1.jpg
7,1465-9921-11-124-1-4.jpg,DMEL,train,/mnt/train/DMEL/1465-9921-11-124-1-4.jpg
8,1465-9921-11-21-6-3.jpg,DMEL,train,/mnt/train/DMEL/1465-9921-11-21-6-3.jpg
9,1465-9921-11-21-6-4.jpg,DMEL,train,/mnt/train/DMEL/1465-9921-11-21-6-4.jpg
10,1465-9921-6-21-6.jpg,DMEL,train,/mnt/train/DMEL/1465-9921-6-21-6.jpg
11,1465-9921-7-50-6-8.jpg,DMEL,train,/mnt/train/DMEL/1465-9921-7-50-6-8.jpg
12,1467-4866-12-6-1-2.jpg,DMEL,train,/mnt/train/DMEL/1467-4866-12-6-1-2.jpg
13,1467-4866-12-6-1-3.jpg,DMEL,train,/mnt/train/DMEL/1467-4866-12-6-1-3.jpg
14,1471-2091-7-24-1-4.jpg,DMEL,train,/mnt/train/DMEL/1471-2091-7-24-1-4.jpg
15,1471-2105-10-75-2-4.jpg,DMEL,train,/mnt/train/DMEL/1471-2105-10-75-2-4.jpg
16,1471-2105-10-S12-S12-7-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2105-10-S12-S12-7-2.jpg
17,1471-2121-3-7-2-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-3-7-2-1.jpg
18,1471-2121-3-7-2-3.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-3-7-2-3.jpg
19,1471-2121-4-2-5-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-4-2-5-1.jpg
20,1471-2121-4-2-5-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-4-2-5-2.jpg
21,1471-2121-8-8-8-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-8-8-8-1.jpg
22,1471-2121-9-1-3-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-1-3-2.jpg
23,1471-2121-9-1-5-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-1-5-1.jpg
24,1471-2121-9-1-5-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-1-5-2.jpg
25,1471-2121-9-26-1-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-26-1-1.jpg
26,1471-2121-9-26-1-12.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-26-1-12.jpg
27,1471-2121-9-26-1-14.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-26-1-14.jpg
28,1471-2121-9-26-2-1.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-26-2-1.jpg
29,1471-2121-9-26-2-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-26-2-2.jpg
30,1471-2121-9-35-3-2.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-35-3-2.jpg
31,1471-2121-9-35-3-3.jpg,DMEL,train,/mnt/train/DMEL/1471-2121-9-35-3-3.jpg
32,1471-213X-1-8-1.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-1-8-1.jpg
33,1471-213X-10-46-2.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-10-46-2.jpg
34,1471-213X-4-3-1-1.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-4-3-1-1.jpg
35,1471-213X-4-3-1-3.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-4-3-1-3.jpg
36,1471-213X-4-3-1-5.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-4-3-1-5.jpg
37,1471-213X-7-7-2-2.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-7-7-2-2.jpg
38,1471-213X-7-7-2-3.jpg,DMEL,train,/mnt/train/DMEL/1471-213X-7-7-2-3.jpg
39,1471-2164-10-171-5.jpg,DMEL,train,/mnt/train/DMEL/1471-2164-10-171-5.jpg
